Body ID,articleBody
64,"RT @ACatholicPrayer: Holy Trinity, one God, Have #mercy on us. #Catholic #SemST"
65,@LadyLydiaD When you become a Father you realize that you are not the most important person in the room anymore.... Your child is. #SemST
66,Is near where we will be told not 2 preach in The Name Acts 4:12 There is salvation in no 1 else...NLT #DCM2015 but #SemST
67,What really builds a relationship is when we relate to what we don't understand about God.  #Emunah #SemST
68,I am human. I look forward to the extinction of humanity with eager anticipation. We deserve nothing less. #SemST
69,Moral relativism does not feed into democracy but rather it feeds into chaos #Catholic #Christian #liberal #progressive #secularist #SemST
70,By faith we receive what Christ did for us and we repent to show that we have received what He did. #repentance #atonement #SemST
71,Let Your fear come upon every soul in my city -Acts 2:43 #SemST
72,"Absolutely fucking sick & tired of the religious and their ""We're persecuted"" bollocks! So fucking what? Pissoff! #SemST"
73,In other related news. Boko Haram has killed over 200 people in the last 48hrs. #SemST
74,Join me on #Periscope M-F @ 8am! #Entrepreneurship #Productivity #ChristianEntrepreneurs #SemST
75,Praise and thank God for everything in your life today. #grateful #SemST
76,"If Jesus is present, it is impossible for your situation/environment to remain a desolate place! #Joy #Victory #NewThings #SonTalk #SemST"
77,"Heaven and earth will pass away, but My words will not pass away. Matthew 24:35 #Tworship #SemST"
78,#KCA #VoteJKT48ID premierdigi: Are Facebook and Twitter good places to defend your faith? How do you communicate?   #christianity #d... #SemST
79,"@CrownFmradio899 however impossible it may sound, I really would have loved to be like the lord #HaveYourSay #SemST"
80,Imagine a species that had split the atom and ventured into space yet most still believe a magic man created everything with magic #SemST
81,"Job said ""The thing I greatly feared has come upon me and that which I was afraid of has happened to me"" Job 3:25  fear opens doors  #SemST"
82,"Jesus, you are my helper. Help me to rest and trust in you and your finished work at the Cross. Amen. #SemST"
83,"The Lord is pleased w/every effort,even tiny,daily ones in which we strive to be more like Him.~Ezra Taft Benson  #lds #inspiration #SemST"
84,I don't believe in the hereafter.  I believe in the here and now. #SemST
85,"If you want to live as a healer, you must be willing to change places with those who are hurting. #God #SemST"
86,"Heb 10:12  this man, after he had offered one sacrifice for sins for ever, sat down on the right hand of God; #bible #SemST"
87,Sometimes it's the broken heart that finds the truest path to love. #SemST
88,Religious moderation is the product of secular knowledge and scriptural ignorance. - @SamHarrisOrg  #SemST
89,"Remember, #God has it all worked out. #SemST"
90,What we are is what we define the world to be. #existentialism #spirituality #SemST
91,I'm making it happen tho  S/O to GOD . #Patience #Priorities #SemST
92,Yeah I think maybe words just stopped mattering #SemST
93,"Keep flowinz az da windz~ blend, bend and never break! #SemST"
94,May the Gods grant me many more freelance gigs in PDX #intention #SemST
95,"@vicgreenaway so, why doesn't a hot air balloon pilot look down to horizon as he rises, rather than horizon being ALWAYS eye level? #SemST"
96,@narendramodi @PMOIndia y politicians in d office can offer iftikar parties.. It is waste of tax payer money. #SemST
97,he better chill with them retweets #SemST
98,"I want to give the world a hug. A huge, huge hug. #human #4thofJuly #everyone #planetearth #SemST"
99,"My son, be wise, and make my heart glad, that I may answer him that reproacheth me. Proverbs 27:11 #SemST"
100,Had a great time @ worship rehearsal.Cant wait till Sunday ! #bridgechurch2015 #bridgelaunchteam #Willacycounty #weloveyou #SemST
101,Every religion is good that teaches man to be good and I know of none that instructs him to be bad. ~Thomas Paine #SemST
102,@godless_mom I like how Jesus is reduced to appearing on toast and photoshopped images and they still praise it. #SemST
103,@godless_mom @stereotypemepls @FlyPastafarian how come u NEVER talk about the GUY who raped his DAUGHTER for 18 years (por exemplo) #SemST
104,Life's just like a test to sort out the best from the unfit rest. #adversity #evolution #Heaven #Nirvana #Valhalla #SemST
105,Hindus pay for Muslim subsidy for HAJ..but need security from Muslims to visit temples-Amarnath yatra..   #HindusUnderAttack #SemST
106,The greatest tragedy in life is the prayers that go unanswered because they go unasked. #ghlondon #SemST
107,@FaithMattersUK we could all just not use religion and beliefs as an excuse to murder and hate? #don'tmurder #SemST
108,We become what we worship. So be intentional in choosing what you worship for that is what you will become. #worship #SemST
109,"Steppin' out in faith and love.....have a safe and pleasant day, tweeple!  #blessed #love #happyday #SemST"
110,"Isaiah 43:15 I am the Lord, your Holy One, the Creator of Israel, your King. #God #SemST"
111,"Come to me, all you who are weary and burdened, and I will give you rest. - Matt 11:28 #Rest #Peace #Scripture #Bible #SemST"
112,From the end of the earth I call to You when my heart is faint; Lead me to the rock that is higher than I Psalm 61:2 NASB #HeIsHigher #SemST
113,"(2/2) the Father's active goodness and unrestricted love. - Ruthless Trust by Manning.... Lord, may I forever trust your love for me. #SemST"
114,Best feeling is when you think you can't do it but you did! #Will #SemST
115,"Bind up the wounds of those whose cry comes to You, O God, rising like a tide, whose hope is in You alone. #grace #SemST"
116,"My Jesus, I wish to do nothing but Thy most holy will. #Saint Philip Neri #Catholic #SemST"
117,@BJPScams @ANI_news Elections were nearing in Bihar / UP / TN so he may be so sickularism sorry #SemST
118,Jer 20:11 But the #LORD is with me like a mighty warrior; so my persecutors will stumble and not prevail > #God #Love #SemST
119,"By accepting religion, you are pulling a big fuzz ball of superstition into your brain.  #freethinker #SemST"
120,"I love God  but ""We get raped in life by demons and then judged for being negative and complaining"" by Christians. #God #SemST"
121,"As opposed to how the media portrays him,the pope is a religious wacko just like any of them and still supports bigotry & misogyny #SemST"
122,"One Nation on their knees, with blowjobs and semen for all. Heavens to Betsy! #ReligionIsBullshit  #fyilive #SemST"
123,"I hope for a time when schools teach 'ethics' instead of 'religion'. Sure - inc faiths bt in a sociocultl, geopoliticl context #SemST"
124,What other nation is so great as to have their gods near them the way the Lord our God is near us whenever we pray to him? #Eritrea #SemST
125,"We have to #Pray with our eyes on #God, not on the difficulties. request #Godanswersprayers #SemST"
126,"Enough sneaking around, bringing in religious groups into #abed public #schools to access our kids in secrecy. #parents #SexED #SemST"
127,@Maisie_Williams everyone feels that way at times. Not just women #SemST
128,"Choose Him who died so that you may live, over him who lives so that you may die.  - WTL Apologetics  #DeadToSin #AliveInChrist #SemST"
129,@aigkenham @ATHE1STP0WER compromise your intentional ignorance all the way to freedom from religion. The best plan ever! #SemST
130,"With #SCOTUS done, It's time for @boyscouts to stop their bigoted practice of rejecting #LGBT scouts at age 18.  #EqualityForAll #SemST"
131,Subtract secularism from modern systems of superstition & you'll be left with the ancient anarchy of archaic theocracy.  #SemST
132,"@flipflops I can confirm. They also worship #Hitler, the atheist diety and inventor of #SemST"
133,"Mark 8.36-38.KJV  For what shall it profit a man, if he shall #gain the whole #world, and lose his own #soul?..."" #Pray #Love #SemST"
134,Why would I listen to someone that is not doing anything to better their life compared to a successful millionaire?#DonaldTrump #ACN #SemST
135,Question to the #religious folks out there who can't comprehend the universe having began without a God. Where did God come from? #SemST
136,@evrttbrd this is PRECIOUS. omg go get em #Europe4Jesus #awakeningeurope #benfitz #bethel #paulyman #heidsbakes #father #jc #abba #SemST
137,@Movingdisaster @roomansi2010  Believe and Obey.  Believe Jesus is the Messiah who saves us from sin by His death. Obey Acts 2:38-39. #SemST
138,"If the governments of all countries were secular, the world would be a much different, probably better, place. Realising this now. #SemST"
139,@truthway_eng  Jesus commands you to follow Acts 2:38-39 to be saved. #christian #christ #Mary #Bible #church #trinity #usa #uk #aus #SemST
140,What is the deal with #Christian people always needing to feel like they are persecuted? #ReligiousFreedom #tcot #SemST
141,Patriotism and Humanism are impossible for someone who takes #Islam too seriously. #SemST
142,Bethany Hamilton Reveals She is Resting in God's Promises Despite 'Unknow #bible #biblestudy #scripture #Christianity #ChristianNews #SemST
143,While scientists fantasize about bugs I am considering gods.  ~~   #TheLUPOL #theism #futurism #singularity #AncientAliens #SemST
144,"#Religions can't all be right, but they can all be wrong. #SemST"
145,"No, I'm not calling myself ""agnostic"" because my atheism scares you and u dont know what words mean. #SemST"
146,Irony: When a #creationist tweets about #science being wrong on a device that couldn't have existed without it.  #SemST
147,"Husbands, love your wives, as Christ loved the church and gave himself up for her, (Ephesians 5:25 ESV) #marriage #Christian #SemST"
148,@ACLU Get rid of religion... and all this will go away overnight... #humanist #egalitarian #SemST
149,Never debate with the devil... Give him an instruction to get behind you!!  #SemST
150,Existing is something god have never been proficient at.  #SemST
151,"Beginning to wonder if Rev. 13:17 mark, buying & selling is relevant ala corporations' behavior (Civil War games), etc. #bible #SemST"
152,When we have done all in our power that the Lord will find a way to open doors. - Spencer W. Kimball #courage #hope #SemST
153,"RT @XO_NayeLashay: In love with Gospel music .. Heals my soul ,lifts my spirits, clears my mind & makes me appreciate what I do have. #SemST"
154,"Mark 6:35-36 My Father, anything that has been scaring and hindering  good from coming my way, Lord let it disappear #RCCGTR #SemST"
155,@Pseud0_Anon @SuhaibSaqib1 very true. Raising awareness and compassion is our goal. #SemST
156,"I have my work and my faith... If that's boring to some people, I can't tell you how much I don't care. ~Madonna Ciccone #SemST"
157,#HemaMalini please think twice before giving a statement. A couple has lost their kid. Please show some #SemST
158,"How do they come up with this insanity? Oh wait, they believe in a Sky-God.  #fyilive, #SemST"
159,@Jaikrishnashree #italianchachi420 UDF/LDF made #Kerala the most backward southern state & cluelss #Hindus keep voting #marxism #SemST
160,"Surely the Sovereign LORD does nothing without revealing his plan to his servants the prophets"" #Amos3v7 #SemST"
161,Loving who I am! Today was awesome because I enjoyed being me. Can't nobody steal my joy! #selflove #motivated by #SemST
162,Proverbs 28:5 (KJV) Evil men understand not judgment: but they that seek the Lord understand all things. #heart #SemST
163,"As always, please remember: fuck Harper, fuck conservatives , fuck religion #fuckharper #NDP  #fuckcons #SemST"
164,My prayer is that you live as long as you want and not want as long as you live. #longlife #SemST
165,"I believe that ""sacred"" is an ap term to describe existence #celebrant #SemST"
166,Man this is going to test me..  Giving all my prayers and questions to The Lord and Savior Jesus Christ.. He will guide me! #hope #SemST
167,We'd like to welcome Lucy Dee to the Atheist Apocalypse team!   May God have mercy on your soul!   #God #mercy #podcast #SemST
168,Life certainly has a way of humbling you. This last year and a half has been filled with trials and tribulations. But God! #patience #SemST
169,Check out Honest Liar on Netflix. James Randi is amazing. #skeptic #SemST
170,The experience of most LGBT people shows them that organised religion is often nothing but structured bullying. #SemST
171,"Just a reminder that humans do not need salvation. We need clean water, food, housing, healthcare, and education. #SemST"
172,"Jesus is not dead , he wasn't real !notdead #SemST"
173,@FoxNews @Patriot_Girl_TX @toddstarnes Shame on @OregonGovBrown for not stepping in to rescind this ruling! #Disgusting #Wrong #SemST
174,@SenSanders there's God. Loving each other unconditionally is what matters. #SemST
175,I think my username would be cool but now it looks stupid. #SemST
176,@SaberinZe @TheBricsPost absurd like saying #nato membership will help #Russia #Pakistan is #islamist can't be friend of #india #SemST
177,"Lord, bring health and a cure to every area of my life, and give me the abundance of peace -Jer. 33:6 #SemST"
178,"This is love: not that we loved God, but that he loved us and sent his Son as an atoning sacrifice for our sins. 1 John 4:10 #love #SemST"
179,#IslamicScholars have to re-think and to do research on this single but vital point. #Pakistan #Islam #HolyQuran #Hadith #SemST
180,"RT @PaulGetter: When your past calls, don't answer. It has nothing new to say. #TeamJesus #SemST"
181,Bless those with a broken soul #SemST
182,"After Hindu girls #Sheila #Munni and Muslim #Razia, it's time for Christian #Mary in the item song world. #Bollywood #SemST"
183,"..    "" ""So decree whatever thou desirest to decree for thou canst only decree the life of this world #SemST"
184,The enemy is not #Muslims #Christians or #Judaism. The real enemy is EXTREMISM.  Humans killing humans. #RespectBeliefs #StopWar #SemST
185,John 10:11 I am the good shepherd; the good shepherd lays down His life for the sheep. #God #Christ #Hallelujah #Amen #SemST
186,Its really incredible how much this world needs the work of missionaries! #futuremissionary #lds #hope #shallnotfear #SemST
187,"Luke 11:5-9, 18:1-8 ""Oh Lord, avenge me of my adversary..."" #PstPeterock #EmpowermentService #SemST"
188,"God is good all of the time. All of the time, God is good! #YHWH #Yeshua #God #SemST"
189,"IF GOD BROUGHT YOU TO IT , HE'LL BRING YOU THROUGH IT. #GODKNOWS #WHATHEDOING #BEPATIENT #TRUSTANDBELIEVE #SemST"
190,That scriptures Aunt just sent me was clutch!!!!  #SemST
191,Before I proceed in any direction...Prayer has to lead me ..follow that and you can't fail  #startup  #ThinkandgrowRich #SemST
192,"The people who walk in darkness Will see a great light; Those who live in a dark land, The light will shine on them. Isaiah 9:2 #SemST"
193,sing unto the LORD; for he hath done excellent things: this is known in all the earth - Isaiah 12:5 #blessings #SemST
194,"A gift from God, live your day responsibly and without regrets.     #amwriting #parenting #amreading #Christianity #sports #SemST"
195,Azerbaijan: Pray for President Ilham Aliyev's salvation. #vom #pray #SemST
196,The #Church is a hospital but the doctor is one: #Christ!! #SemST
197,"@Ageoftheatheist ~ ""Age of the #Atheist"" where life has no purpose & no hope! #SemST"
198,Give us the gifts and graces to be your vessels. Amen #SemST
199,"In the big picture, religion is bad for society because it blunts reason.   #freethinker #SemST"
200,when you get distinctions for half your modules but started studying the day before for each because of shoots. Thank You Father!!! #SemST
201,Religion has destroyed the ability for some to say know.   #SemST
202,I pray for the best for everybody!!! #SemST
203,"@Brasilmagic @neiltyson there's no god 2b tired of, just tired o ppl believing in such nonsense. Time 2 focus on reality, HUMANITY #SemST"
204,There are dreams and desires that #God has placed in your heartthey are a part of your divine destiny. #SemST
205,@MuhammadAli except for your belief in Allah. Gods are imaginary. Love and humanity are real. I love you. Be well and take care. #SemST
206,"AtheistQ ""God's guidance is the only excuse for a man who can't find a better justification for his actions. #SemST"
207,2 pretty sisters are dancing with cancered kid   #SemST
208,You and I are part and parcel of everything else. Embrace this. #spirituality #SemST
209,"All that is needed for God for something to happen is to say ""#Be"" and it is; for God is capable of all things. #God created #trinity #SemST"
210,Ya....cuz Nicky Hilton HAD to marry up? Really? You had to land a bloody Rothschild too?? #SemST
211,"8 Holy Mary Mother of God, pray for us sinners now and at the hour of our death. Amen. #rosary #teamjesus #God #SemST"
212,"Heap mischief upon them, and spend Your arrows upon them -Deut. 32:23 #SemST"
213,"God is good all the time, all the time God is good #unconditionallove #SemST"
214,Should we take the #DNA at birth of every human being on Earth? #science #economics #SemST
215,Shit just don't stop but 1 thing I will not question God #SemST
216,1of 2 #Never be #afraid to and never #apologise for using the #word of #GOD as #analogies to #explain something in a #setting! #SemST
217,How soon do you think WWIII &WWWIV will begin? #U9tedWeStand #EndRacism #EndReligion #EndSexism #EndMisogyny #LoveYourNeighbor #SemST
218,"The humble trust in God: 'Whoever leans on, trusts in, and is confident in the Lord  happy, blessed, and fortunate is he' #SemST"
219,Where will you be when @NewHorizons2015 flies by Pluto? #NewHorizons #PlutoFlyby #Pluto #EndRacism #EndSexism #EndReligion #Peace #SemST
220,No one can out woo God in the woo department - Claudia May  #godisloveislove #blacklives #SemST
221,Closed door session begins. More after they decide on the entities.  #GCF #SemST
222,"What is the #energiewende agenda? Why are they not in the ""de-carbonizer"" camp?.  How long will you tolerate the lies?  #SemST"
223,@climasphere Stocker: Fish catch potential could drop by as much as 50% in some areas due to #oceanacidification. #CFCC15 #SemST
224,"...a longer memory, and a sterner sense of justice than we do. -W.Berry #SemST"
225,"Boni ""Future Sea level rise will not be uniform & different for coasts"" #CCFC15 #Journey2015 #SemST"
226,"@climasphere Bony: Extreme weather events (heat waves, drought, flooding, windstorms) made more frequent/intense by #CFCC15 #SemST"
227,Camille Parmesan: 2/3 of species have changed #habitat because of #H12 #CFCC15 #SemST
228,"5 meta-analyses show 1/2 of species have changed where they live, 2/3 have changed when they live. Camille Parmesan #CFCC15 #SemST"
229,It literarly just took me 10 minutes to get in a bus because an old lady just had to go in front of everyone... #SemST
230,"Grubb: state of energy: shift US & EU from net-producer to net-importer of emissions"" #CCFC15 #journey2015 #SemST"
231,Interesting speaker Maarten Van Aalst @Federation how their humanitarian experience can help Climate scientists #CCFC15 #SemST
232,putting my neck out as such when I did not have to be here at all? Regards Dion #peace #GMS #Democracy #Transparency #Future! #SemST
233,grow food not lawns  Lawns are Ecocide in your yard. #Patriarchy is Ecocide of your own species #DominoEffect #SemST
234,This halcyon summer is over. Climate is on the move. Doug Kelbaugh #CNU23 #declarationsignee #SemST
235,@soundofideas we Have to talk about new normals #SemST
236,Citizens have a right to access information that would protect their lives against #risk #CLIMWARN #CFCC15 #vulnerability #SemST
237,That moment when Canadians realised global warming doesn't equal a tropical vacation #BCwildfire #Canadaburns #SemST
238,"We NEED alternatives to #fossilfuel, but also need to maintain our #economy! This change will be gradual so lets START NOW! #SemST"
239,#Defrance: displacements due to natural disasters higher than those caused by conflicts #migration #development #CFCC #S2242 #SemST
240,"@loic Yes, you shouldn't. But, stop killing animals is not the only reason to become a vegan - #stopfamine #behealthy #SemST"
241,We don't inherit the earth from our parents we borrow it from our children #Conservation #Perspective #SemST
242,.@vj44 @POTUS Yay! We'd love to convert to solar power! PG&E plan to raise our rates again. #ActOnClimate #p2 #SemST
243,#rsaeconomy: #tax can surely play a greater role in helping richer countries slow emissions and poor countries transition. #SemST
244,It's raining and feels like fall I don't know what kinda summer this is  #isReal #SemST
245,We can address both climate change and sustainable development with the same measures @CFigueres #SDGs #climateaction #COP21 #SemST
246,@RachelNotley what's the plan for getting job-creating big green energy corps located here in #alberta? #taxbreaks #jobs #SemST
247,#Mission:#Climate @ home > Purchase renewable power from your utility (by @AveKathleen) #Tip #ImpactIsReal #SemST
248,"There's no more normal rains anymore. Always storms, heavy and flooding. #SemST"
249,"@AlanBrownSNP HS2 does too much damage to local communities + to the environment,they use 60% more fuel than regular trains. #SemST"
250,As Western Canada Burns Harper's got his head so deep in the #tarsands he can see #ChristyClark's ankles #BCwildfire #cdnpoli #SemST
251,Also what's up with this ridiculous weather?? It was raining this morning and now it's like super hot! #weatherproblems #lame #SemST
252,@TheWayneKing @RickSantorum @hardball @hardball_chris What values is heUsing ref criminal safety checks for weaponsAddressing #SemST
253,Eager to learn at the Modern Prosperity event at the @hfxpublib hosted by  @EcologyAction #carbonpricing #jobsjusticeclimate #SemST
254,The #carbontrading in #Quebec has very ambitious GHG reduction target of 20% #nspoli #SemST
255,@jiminhofe anthropogenicthat which is caused by humans; #SnowballJim #SemST
256,I thought Seattle was supposed to have a lot more rain #drought #SemST
257,On a scale of 1 to 10 the air quality in Whistler is a 35. #wildfires #BCwildfire #SemST
258,"@catethegreat52 yes Catherine, the future of human civilisation depends on this generation & how it acts on #Auspol #SemST"
259,It's most exciting to witness a major development! @urgenda #SemST
260,We are causing the ice masses of Earth to melt at an alarming rate. #SemST
261,@mdrewnz Will @NZGreens support Canterbury Rocket + Nuclear Power for NZ? Send our nuclear waste to space @GenerationZer0 #SemST
262,@Sam6869 research is irrelevant when biosphere is on the brink of collapse. #deforestation #6thExtinction #war #SemST
263,"@ChadCowie Indigenous ppl will save the country, if it's not too late. #SemST"
264,Turn the Liverpool Plains into a coal mine...is there any bad idea this government doesn't like? #FoodBowl #Shenhua #auspol #SemST
265,@CBSNewYork Seems the marine animals are finally declaring war on man due to man-made environmental destruction. #SemST
266,Seems I may yet get my Climate Apocalypse >:) You fucking morons! #Shenhua #LNPFAIL #keepitintheground #SemST
267,The Weather app keeps taunting us with rain. #PNW #drought #SemST
268,What do you do to help reverse climate change? Tweet your tips to inspire others! #Tip #SavePolarBear #SemST
269,"You know things are pretty out of control when you're happy to have ""only"" 30 degrees C indoor and it feels good. #SemST"
270,Haven't moved an inch since yesterday.  #bcpoli #vancouver #bcwildfire #yvr #realrenewables #SemST
271,@Gwillaumau @timpoliti @ABCthedrum @whelan60 @chrisberg NEVER KNEW INCONVENIENT FACTS WARRANTED A SHRINK!!! ROTFLMAO #auspol #SemST
272,Will the world place sanctions on #Australia for it's insane pursuit of new massive #coal mines? #UN #auspol #sanctions #SemST
273,"Now moving from summer season to........ Life, too moves from...  #climate #weatherchange #rain #forecast #wind #SemST"
274,Climate change is my issue - make it yours #Zim #SemST
275,#Mission:#Climate @ home > Don't let heat escape from your house over a long period #Tip #EarthRightNow #SemST
276,Counting down the days until my PhD starts #77 #tephrochronology #southernhemisphere  #chronology #oxford #SemST
277,"Today Europe is breaking heat records, while Asia is breaking the lowest temperature records!! Should we not be concerned?!  #SemST"
278,Paul Leadley Talking about #biodiversity scenarios under #h22 #CFCC15 #SemST
279,Our cardboard city with @Joshpaulevans from @TearfundRhythms in our @cscw_uk youth club on Monday. #SemST
280,Dhakal: There is no silver bullet for solutions - each city has to devise own local/specific responses to #CFCC15 #SemST
281,Follow @ClimatParis2015 for information on #CFCC15 - the climate change conference in Paris. #SemST
282,"Am not a Catholic, but the pope is spot on when it comes climate change & protecting the amazon forest. #SemST"
283,"Food and water security are intertwined: ""Adaptation costs water."" #CFCC15 #journey2015 #L25 #SemST"
284,"It's July and its 57 degrees, can't imagine what winter is going to feel like this year. #ChicagoWeather #SemST"
285,Adaptation is something that reduces the negative impact or enhances the positive impact of #CFCC15 #Journey2015 #SemST
286,@MAPSProgramme tackles difficult challenges of growth needs and unemployment alongside #CFCC15. #SemST
287,"Much good to be had in the lead up to #COP21. 2,200 researchers from over 100 countries, uniting to address global #CFCC15 #SemST"
288,"#Earth is a #finite in #nature #environment, ""no amount of #dividend #value can #buy its #natural #diversity back! #SemST"
289,"#Obama said ""can't prevent oil exploration completely"" in the Arctic, is ""setting the highest possible standards=BS #shellno #SemST"
290,@RichardTuffin Tuvalu has been at the forefront of dealing with consequences of climate change. They are realists #auspol #SemST
291,A Very Good Discussion:Ruth Valerio @ARochaUK and Premier Radio's @revcindy1 on key issues affecting us in #Pope #Encyclical #SemST
292,Be kind to the earth beneath your feet.  #environment #SemST
293,"Also, it's raining here in the Brazilian central savannas. We were supposed to be in the pinnacle of the dry season. #SemST"
294,"avg house in US consumes 10,656 kWh per year 2006, Gore devoured nearly 221,000 kWh more than 20 X the nat average. #onpoli #SemST"
295,Please will someone at @BBCRadio4 clarify what Osbourne said about oil and renewables energy?  #budget2015 #futureoftheplanet #SemST
296,Participation is essential: bring vulnerable voices to the table at #COP21 says @wjamann #AgCOP21 #CFCC15 @cgiarclimate #SemST
297,We blame cities for the majority of CO2 emissions without acknowledging their vulnerability to #CFCC15 #journey2015 #S2228 #SemST
298,@FoxNews LOL. Too bad all the other scientists agree with him. #ClimateChangeDenier #SemST
299,#KCA #VoteJKT48ID ClimateCommRPB: The green diet: how to eat healthy and save the planet #SemST
